#FIELD: aquarius_u67203   PHOTOMETRY VERSION: phot-2.03
#REFERENCE POSITION (for DRA, DDEC):   311.720833  -12.847500 (J2000)
#ADOPTED GALAXY CENTER (for DRACEN, DDECCEN):   311.716248  -12.847500 (J2000)
#FLAG  f606w  E(f606w)  CROWD1  f814w  E(f814w)  CROWD2  CHIP  X  Y  DRA  DDEC  DRACEN  DDECCEN  RA(J2000)  DEC  
   352  25.377   0.201   0.000  99.999   0.000   0.000   1  765.07  784.27  -56.216  -83.614    -39.709    -83.614  20:46:49.25  -12:52:14.6
   355  23.788   0.177   0.051  99.999   0.000   0.000   1  294.97  439.22  -44.969  -59.708    -28.462    -59.708  20:46:50.00  -12:51:50.7
   331  24.212   0.049   0.000  99.999   0.000   0.000   1  384.74  551.03  -49.240  -64.729    -32.733    -64.729  20:46:49.72  -12:51:55.7
   227  99.999   0.000   0.000  22.543   0.180   0.005   1  724.14  535.53  -45.364  -79.659    -28.857    -79.659  20:46:49.98  -12:52:10.7
   227  99.999   0.000   0.000  22.394   0.145   0.000   1  644.21  786.62  -57.478  -78.337    -40.970    -78.337  20:46:49.17  -12:52:09.3
   355  23.457   0.196   0.000  99.999   0.000   0.000   1  600.94  332.69  -37.266  -72.374    -20.758    -72.374  20:46:50.52  -12:52:03.4
   227  99.999   0.000   0.000  22.674   0.177   0.080   1  255.61  517.65  -48.911  -58.670    -32.404    -58.670  20:46:49.74  -12:51:49.7
   227  99.999   0.000   0.000  22.623   0.164   0.002   1  482.93  639.71  -52.362  -69.904    -35.855    -69.904  20:46:49.51  -12:52:00.9
   227  99.999   0.000   0.000  22.420   0.194  -0.023   1  488.91  723.09  -56.082  -70.914    -39.575    -70.914  20:46:49.26  -12:52:01.9
   355  23.636   0.149   0.000  99.999   0.000   0.000   1  648.06  641.43  -50.889  -77.242    -34.382    -77.242  20:46:49.61  -12:52:08.2
   227  99.999   0.000   0.000  22.791   0.171   0.000   1  551.44  283.51  -35.479  -69.724    -18.971    -69.724  20:46:50.63  -12:52:00.7
   323  23.903   0.108   0.000  99.999   0.000   0.000   1  599.24  542.98  -46.872  -74.204    -30.364    -74.204  20:46:49.88  -12:52:05.2
   227  99.999   0.000   0.000  22.760   0.126   0.000   1  432.98  735.09  -57.146  -68.537    -40.639    -68.537  20:46:49.19  -12:51:59.5
   227  99.999   0.000   0.000  22.838   0.169   0.000   1  284.80  785.67  -60.784  -62.410    -44.277    -62.410  20:46:48.95  -12:51:53.4
   355  23.928   0.126   0.000  99.999   0.000   0.000   1  231.66  173.80  -33.452  -54.487    -16.945    -54.487  20:46:50.77  -12:51:45.5
   355  23.939   0.137   0.000  99.999   0.000   0.000   1  198.63  369.62  -42.684  -54.786    -26.177    -54.786  20:46:50.15  -12:51:45.8
   227  99.999   0.000   0.000  22.736   0.185   0.001   1  377.77  495.79  -46.785  -63.917    -30.278    -63.917  20:46:49.88  -12:51:54.9
